pmid	year	journal	type	queries	title
42065182	2026	Medicine (Baltimore)	Journal Article	Q1_lung_GRN_disease;Q9_copd_asthma_tf	Predicting diagnostic gene biomarkers in allergic asthma.
42060612	2026	PLoS One	Journal Article	Q1_lung_GRN_disease;Q10_lung_cancer_tf_network	Unraveling the role of ChREBP in lung adenocarcinoma: Expression, regulatory networks, and potential functional impact.
42024670	2026	PLoS One	Journal Article	Q1_lung_GRN_disease;Q8_ipf_tf	Biomarkers of mitochondrial dynamics in idiopathic pulmonary fibrosis: Identification and validation through transcriptomic and single-cell analyses.
41890749	2026	Front Immunol	Journal Article;Review	Q1_lung_GRN_disease;Q11_lung_dev_tf	Post-translational protein lactylation modification in lung cancer: an emerging targeted therapeutic strategy.
41868652	2026	Front Allergy	Journal Article;Review	Q1_lung_GRN_disease;Q9_copd_asthma_tf	The FOXA transcription factors in allergic airway disease and asthma.
41818350	2026	Pharmacology	Journal Article	Q1_lung_GRN_disease;Q5_lung_chipseq_tf	Heterogeneity and Regulatory Mechanisms of ALK-Mutant and Wild-Type Epithelial Cells in Non-Small-Cell Lung Cancer: Single-Cell Transcriptomics and Chromatin Accessibility.
41559111	2026	NPJ Syst Biol Appl	Journal Article	Q1_lung_GRN_disease;Q10_lung_cancer_tf_network	Gene regulatory network transitions reveal the central transcription factors in lung adenocarcinoma progression.
41290994	2026	Cancer Gene Ther	Journal Article	Q1_lung_GRN_disease;Q10_lung_cancer_tf_network	Construction of the cancer cell continuum reveals hybrid EMT state driving lung adenocarcinoma aggression.
42371181	2026	Funct Integr Genomics	Journal Article	Q2_scenic_lung;Q10_lung_cancer_tf_network	Single-cell transcriptomic analysis identifies a tumor-enriched GIMAP7⁺ CD4⁺ naïve T cell population with a unique immunoregulatory state in lung adenocarcinoma.
42527907	2026	BMC Bioinformatics	Journal Article	Q3_tf_target_database;Q7_disease_gene_resource	Residual-stream geometry of single-cell foundation models carries incremental gene-regulatory signal across tissues.
42398561	2026	J Biomed Inform	Journal Article	Q3_tf_target_database;Q7_disease_gene_resource	Causal intervention validation of gene regulatory signals in scGPT.
42343467	2026	Hereditas	Journal Article	Q3_tf_target_database;Q7_disease_gene_resource	KLF5 promotes proliferation, migration, and autophagy-/EMT‑associated molecular changes in lens epithelial cells via transcriptional activation of THBS1 in traumatic cataract.
42261399	2026	Int J Chron Obstruct Pulmon Dis	Journal Article;Research Support, Non-U.S. Gov't	Q3_tf_target_database;Q9_copd_asthma_tf	A Single Cell Atlas of the COPD Lung Identifies Inflammatory Reprogramming in Fibroblasts.
42239439	2026	bioRxiv	Journal Article;Preprint	Q3_tf_target_database;Q12_pah_bpd_tf	Identification of drug candidates for rescue of SOX17 gene targets in pulmonary arterial hypertension.
42073601	2026	Cancers (Basel)	Journal Article	Q3_tf_target_database;Q10_lung_cancer_tf_network	Integrated Characterization of AP-2δ Reveals Distinct Regulatory Architecture in Lung Adenocarcinoma and Lung Squamous Cell Carcinoma.
42023209	2026	Front Immunol	Journal Article	Q3_tf_target_database;Q10_lung_cancer_tf_network	Integrated profiling of RUNX3 in intratumoral NK cells activity through bulk and single-cell transcriptomic analysis.
41987290	2026	J Transl Med	Journal Article	Q3_tf_target_database;Q10_lung_cancer_tf_network	Uridine metabolism promotes lung adenocarcinoma progression by activating FBL transcription via YBX1.
41937877	2026	Rep Pract Oncol Radiother	Journal Article	Q3_tf_target_database;Q10_lung_cancer_tf_network	A competing TMPO-AS1-let-7b-5p-kinesin superfamily RNA network predicts poor lung cancer patient survival.
41888600	2026	Sci Rep	Journal Article	Q3_tf_target_database;Q10_lung_cancer_tf_network	TRIM31 inhibits ferroptosis in LUAD through facilitating ubiquitination and degradation of P53.
41851687	2026	Respir Res	Journal Article	Q3_tf_target_database;Q11_lung_dev_tf	The GAP43/RAC1 axis drives glycolytic reprogramming and progression in lung adenocarcinoma.
41822324	2026	World J Oncol	Journal Article	Q3_tf_target_database;Q6_gwas_lung_regulatory	Identification of Genes and Construction of Prognostic Model of Lung Adenocarcinoma Based on Propionate Metabolism-Related Genes.
41789667	2026	Oncol Rep	Journal Article	Q3_tf_target_database;Q11_lung_dev_tf	Knockdown of CCT2 inhibits the malignant progression of hepatocellular carcinoma cells by impairing STAT3 activation.
41755794	2026	Allergy	Journal Article	Q3_tf_target_database;Q9_copd_asthma_tf	Identification of Key Genes Associated With Epithelial Barrier Dysfunction by Comprehensive Analysis and Experimental Validation.
41512780	2026	Ecotoxicol Environ Saf	Journal Article	Q3_tf_target_database;Q10_lung_cancer_tf_network	Dysregulation of atrazine-associated core gene networks and risk prediction in human cancers: Insights from integrated transcriptomics and network toxicology analyses.
42039472	2026	bioRxiv	Journal Article;Preprint	Q4_lung_atlas;Q6_gwas_lung_regulatory	Single-cell full-length transcriptome of human lung reveals genetic effects on isoform regulation beyond gene-level expression.
40997082	2026	Am J Respir Cell Mol Biol	Journal Article;Research Support, N.I.H., Extramural	Q4_lung_atlas;Q11_lung_dev_tf	The transcriptional landscape of developing human trisomy 21 lungs.
42079583	2026	Front Immunol	Journal Article	Q6_gwas_lung_regulatory;Q9_copd_asthma_tf	Genome-wide association study of atopic and autoimmune comorbidities in alopecia areata.
41965819	2026	Commun Biol	Journal Article	Q6_gwas_lung_regulatory;Q8_ipf_tf	Epigenome-wide Mendelian randomization with multi-omics validation identifies epigenetic drivers of idiopathic pulmonary fibrosis.
41868721	2026	Int J Chron Obstruct Pulmon Dis	Journal Article;Research Support, Non-U.S. Gov't	Q6_gwas_lung_regulatory;Q11_lung_dev_tf	Integrating Multi-Omics Data to Uncover Causal Links Between Mitochondria-Related Genes and Chronic Obstructive Pulmonary Disease: A Mendelian Randomization Study.
41174273	2026	Clin Rheumatol	Journal Article	Q6_gwas_lung_regulatory;Q8_ipf_tf	Shared genetic architecture and potential comorbid mechanisms between rheumatoid arthritis and idiopathic pulmonary fibrosis.
41993306	2026	bioRxiv	Journal Article;Preprint	Q8_ipf_tf;Q11_lung_dev_tf	Transcriptional and spatial profiling of fibroblasts from human lungs highlights CTHRC1+ cells as fibrogenic signaling hubs in fibrosis.
41855208	2026	PLoS One	Journal Article	Q8_ipf_tf;Q9_copd_asthma_tf	Gene expression and metadata based identification of key genes for lung cancer, COPD, and IPF using machine learning and statistical models.
41637526	2026	Sci Transl Med	Journal Article	Q8_ipf_tf;Q12_pah_bpd_tf	Sine oculis homeobox 1 drives endothelial dysfunction in preclinical pulmonary arterial hypertension.
41088915	2026	Curr Med Chem	Journal Article	Q8_ipf_tf;Q11_lung_dev_tf	Construction of an E3 Ubiquitin Ligase Gene Model to Predict the Prognosis of Idiopathic Pulmonary Fibrosis Patients Using Integrated Bioinformatics Analysis.
42397467	2026	Mol Biol Rep	Journal Article;Review	Q9_copd_asthma_tf;Q12_pah_bpd_tf	Molecular mechanisms of EPAS1 in regulating pulmonary vascular remodeling in COPD: a review.
42073597	2026	Cancers (Basel)	Journal Article	Q9_copd_asthma_tf;Q11_lung_dev_tf	Molecular Links Between Smoking, COPD, and Lung Cancer: A DNA Methylation Perspective.
42455368	2026	J Cancer Res Clin Oncol	Journal Article	Q10_lung_cancer_tf_network;Q11_lung_dev_tf	Effects of CDDO‑TFEA on non‑small cell lung cancer growth, apoptosis, and stemness via the MEK/ERK pathway.
41420920	2026	Mutat Res	Journal Article;Research Support, Non-U.S. Gov't	Q10_lung_cancer_tf_network;Q11_lung_dev_tf	SPDEF-mediated BIRC5 transcriptional activation enhances non-small cell lung cancer progression.
42089296	2026	Am J Respir Cell Mol Biol	Journal Article	Q11_lung_dev_tf;Q12_pah_bpd_tf	Novel Netrin-1-Unc5b-Klf4 axis balances AT2 survival in experimental bronchopulmonary dysplasia.
20301290	1993		Review	Q12_pah_bpd_tf	Holt-Oram Syndrome.
20301771	1993		Review	Q12_pah_bpd_tf	Spondylocostal Dysostosis, Autosomal Recessive.
26078448	2015	J Bacteriol	Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't	Q2_scenic_lung	Links between Anr and Quorum Sensing in Pseudomonas aeruginosa Biofilms.
25844539	2015	PLoS One	Comparative Study;Journal Article;Research Support, N.I.H., Extramural;Research Support, U.S. Gov't, Non-P.H.S.	Q2_scenic_lung	Transcriptional profile of Mycobacterium tuberculosis replicating in type II alveolar epithelial cells.
25796134	2015	Vet Microbiol	Journal Article;Research Support, Non-U.S. Gov't	Q2_scenic_lung	Actinobacillus pleuropneumoniae two-component system QseB/QseC regulates the transcription of PilM, an important determinant of bacterial adherence and virulence.
25730547	2015	Am J Respir Crit Care Med	Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't	Q2_scenic_lung	The DosR Regulon Modulates Adaptive Immunity and Is Essential for Mycobacterium tuberculosis Persistence.
25714721	2015	mBio	Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't	Q2_scenic_lung	The ferrous iron-responsive BqsRS two-component system activates genes that promote cationic stress tolerance.
26488015	2015	Ann Transl Med	Journal Article	Q4_lung_atlas	The promise of lung master protocol for squamous cell carcinoma: one trial to rule them all, one trial to find them…?
